Genre;Beschreibung;E-Gitarre;Synthesizer;Klavier;Orchester;Schlagzeug;Drum Machine;Tempo (norm.);Gesang (klar=1);Harmonik (0=einfach, 1=komplex);Energie (0=niedrig, 1=hoch)
Rock;Prägend sind E-Gitarren, Schlagzeug und kraftvoller Gesang. Texte handeln oft von Rebellion oder Alltag.;1;0;0;0;1;0;0.7;1;0.3;0.8
Synthie-Pop;Elektronische Popmusik mit Synthesizern und Drum Machines. Texte sind oft futuristisch oder abstrakt.;0;1;0;0;0;1;0.65;1;0.2;0.7
Classic;Orchesterbasierte Musik mit komplexen Harmonien und klaren Melodien. Oft instrumental.;0;0;1;1;0;0;0.3;1;0.9;0.4
Metal;Verzerrte E-Gitarren, schnelle Rhythmen und aggressive Vocals. Themen sind oft dunkel oder gesellschaftskritisch.;1;0;0;0;1;0;0.85;0;0.8;0.9
Techno;Elektronische Tanzmusik mit repetitiven Beats und Synthesizer-Sounds. Meist instrumental.;0;1;0;0;0;1;0.75;0;0.1;0.9
Jazz;Improvisation, komplexe Harmonien und akustische Instrumente wie Klavier oder Saxophon.;0;0;1;0;1;0;0.5;1;0.8;0.6
Folk;Akustische Instrumente wie Gitarre oder Geige. Texte erzählen oft Geschichten oder handeln von Natur.;0;0;0;0;0;0;0.4;1;0.2;0.3
Hip-Hop;Rhythmischer Sprechgesang über Beats. Texte sind oft sozialkritisch oder biografisch.;0;0;0;0;0;1;0.6;1;0.4;0.7
Dark Ambient;Düstere, atmosphärische Klanglandschaften mit Synthesizern und Field Recordings. Meist instrumental.;0;1;0;0;0;0;0.2;0;0.5;0.2
Pop;Eingängige Melodien, klare Gesangslinien und oft elektronische Instrumente. Texte handeln von Liebe oder Alltag.;0;1;0;0;1;0;0.6;1;0.1;0.7
Indie-Rock;Gitarrenlastiger Rock mit DIY-Ästhetik und experimentellen Einflüssen.;1;0;0;0;1;0;0.65;1;0.4;0.7
Punk;Schnelle, aggressive Musik mit einfachen Akkorden und politischen Texten.;1;0;0;0;1;0;0.8;0;0.2;0.9
Blues;Akustische oder E-Gitarre mit 12-taktigen Strukturen. Texte handeln von Leid oder Hoffnung.;1;0;0;0;0;0;0.4;1;0.3;0.5
Reggae;Entspannte Rhythmen, Offbeat-Gitarren und Texte über soziale Gerechtigkeit oder Liebe.;1;0;0;0;1;0;0.5;1;0.2;0.5
Electronic;Elektronisch erzeugte Klänge, oft tanzbar und ohne traditionelle Songstrukturen.;0;1;0;0;0;1;0.7;0;0.3;0.8
Country;Akustische Gitarren, Geigen und Texte über ländliches Leben oder Liebe.;1;0;0;0;1;0;0.5;1;0.2;0.4
R&B;Soulvolle Vocals, rhythmische Beats und Texte über Beziehungen oder Emotionen.;0;0;1;0;0;1;0.55;1;0.4;0.6
Funk;Groovige Basslinien, Bläser und tanzbare Rhythmen.;1;1;1;0;1;0;0.65;1;0.5;0.8
Disco;Tanzbare Beats, Orchesterelemente und glitzernde Vocals.;0;1;1;1;1;1;0.7;1;0.2;0.8
House;Elektronische Tanzmusik mit gleichmäßigen Beats und Synthesizer-Melodien.;0;1;0;0;0;1;0.7;0;0.2;0.8
Trance;Uplifting-Synthesizer, repetitive Beats und euphorische Melodien.;0;1;0;0;0;1;0.75;0;0.3;0.9
